appid,best_community_idx,best_community_id,similarity,above_threshold
32650,11,COMMUNITY_11,0.8738791346549988,True
200020,11,COMMUNITY_11,0.872401773929596,True
3530,11,COMMUNITY_11,0.8652521967887878,True
503810,11,COMMUNITY_11,0.8513299822807312,True
277890,11,COMMUNITY_11,0.8499237895011902,True
1151740,11,COMMUNITY_11,0.8490678668022156,True
21030,11,COMMUNITY_11,0.8446299433708191,True
1233260,9,COMMUNITY_9,0.8310116529464722,True
353190,11,COMMUNITY_11,0.8170473575592041,True
32620,11,COMMUNITY_11,0.8130539655685425,True
622220,9,COMMUNITY_9,0.8125976324081421,True
282050,9,COMMUNITY_9,0.8103780150413513,True
391030,11,COMMUNITY_11,0.8053723573684692,True
272260,1,COMMUNITY_1,0.8030001521110535,True
26170,1,COMMUNITY_1,0.8030001521110535,True
39620,1,COMMUNITY_1,0.8030001521110535,True
3092450,1,COMMUNITY_1,0.8028635382652283,True
1110100,9,COMMUNITY_9,0.8025846481323242,True
3449620,1,COMMUNITY_1,0.8020554780960083,True
724030,3,COMMUNITY_3,0.8002519607543945,True
1090630,9,COMMUNITY_9,0.799210250377655,True
258180,11,COMMUNITY_11,0.7991266846656799,True
2169110,1,COMMUNITY_1,0.7985349893569946,True
22700,1,COMMUNITY_1,0.7983546853065491,True
109410,1,COMMUNITY_1,0.7983546853065491,True
10510,1,COMMUNITY_1,0.7983546853065491,True
236830,1,COMMUNITY_1,0.7983546853065491,True
239940,1,COMMUNITY_1,0.7983546853065491,True
237700,1,COMMUNITY_1,0.7983546853065491,True
236530,1,COMMUNITY_1,0.7983546853065491,True
201280,1,COMMUNITY_1,0.7983546853065491,True
434120,1,COMMUNITY_1,0.7983546853065491,True
239680,1,COMMUNITY_1,0.7983546853065491,True
5210,1,COMMUNITY_1,0.7983546853065491,True
1133110,1,COMMUNITY_1,0.7983546853065491,True
1935010,1,COMMUNITY_1,0.7977043986320496,True
1880380,1,COMMUNITY_1,0.7945684194564819,True
3368490,1,COMMUNITY_1,0.7944667339324951,True
12560,11,COMMUNITY_11,0.7916005849838257,True
2875760,1,COMMUNITY_1,0.789787232875824,True
42160,1,COMMUNITY_1,0.7884544730186462,True
400990,1,COMMUNITY_1,0.7884544730186462,True
42870,1,COMMUNITY_1,0.7884544730186462,True
289120,1,COMMUNITY_1,0.7884544730186462,True
24860,1,COMMUNITY_1,0.7884544730186462,True
