appid,best_community_idx,best_community_id,similarity
503810,32,32,0.8218212127685547
366610,2,2,0.8121971487998962
523440,2,2,0.7935627698898315
370550,2,2,0.792273223400116
435090,2,2,0.792120635509491
418960,2,2,0.7778735756874084
21030,32,32,0.7689294815063477
108110,32,32,0.7684733271598816
1052900,2,2,0.7680644989013672
867590,27,27,0.7667460441589355
353190,32,32,0.7652077674865723
491100,2,2,0.7642319798469543
277890,32,32,0.7594326734542847
552380,2,2,0.7585129141807556
435050,7,7,0.7549189925193787
1093280,2,2,0.7533832788467407
951640,2,2,0.7522098422050476
765770,2,2,0.7411910891532898
795020,2,2,0.7401852011680603
586380,2,2,0.7350146770477295
728830,2,2,0.7333107590675354
2605980,36,36,0.7330322265625
580560,2,2,0.7328749895095825
272990,2,2,0.7266975045204163
858500,7,7,0.7262462973594666
533890,2,2,0.7221857905387878
560570,2,2,0.7217957377433777
767870,2,2,0.7149380445480347
3461920,2,2,0.7148881554603577
694160,2,2,0.7124135494232178
1418020,2,2,0.7115259170532227
628960,2,2,0.7087917327880859
685990,2,2,0.7084391713142395
1160790,23,23,0.7077421545982361
420840,2,2,0.7052521705627441
1155790,2,2,0.7034217119216919
417840,2,2,0.7011634707450867
